code,category,value
E02000127,2,1257
E02000127,3,669
E02000127,4,221
E02000127,5,9
E02000128,1,1717
E02000128,2,925
E02000128,3,362
E02000128,4,57
E02000128,5,2
E02000130,1,2010
E02000130,2,1120
E02000130,3,417
E02000130,4,110
E02000130,5,9
E02000131,1,2761
E02000131,2,1508
E02000131,3,583
E02000131,4,199
E02000131,5,17
E02000132,1,2833
E02000132,2,1508
E02000132,3,484
E02000132,4,109
E02000132,5,8
E02000134,1,2904
E02000134,2,1611
E02000134,3,615
E02000134,4,159
E02000134,5,11
E02000135,1,1808
E02000135,2,1513
E02000135,3,768
E02000135,4,331
E02000135,5,23
E02000136,1,1098
E02000136,2,743
E02000136,3,357
E02000136,4,83
E02000136,5,13
E02000137,1,2246
E02000137,2,1076
E02000137,3,291
E02000137,4,59
E02000137,5,2
E02000138,1,2501
E02000138,2,1252
E02000138,3,341
E02000138,4,43
E02000138,5,2
E02000140,1,1253
E02000140,2,1115
E02000140,3,708
E02000140,4,246
E02000140,5,17
E02000142,1,2087
E02000142,2,1027
E02000142,3,297
E02000142,4,40
E02000142,5,1
E02000144,1,2643
E02000144,2,1257
E02000144,3,349
E02000144,4,59
E02000144,5,1
E02000145,1,1425
E02000145,2,1221
E02000145,3,610
E02000145,4,245
E02000145,5,13
E02000146,1,2346
E02000146,2,1168
E02000146,3,391
E02000146,4,124
E02000146,5,8
E02000148,1,1565
E02000148,2,841
E02000148,3,236
E02000148,4,54
E02000148,5,3
E02000152,1,1530
E02000152,2,930
E02000152,3,502
E02000152,4,128
E02000152,5,6
E02000154,1,1999
E02000154,2,1127
E02000154,3,366
E02000154,4,76
E02000154,5,6
E02000155,1,1425
E02000155,2,1067
E02000155,3,455
E02000155,4,87
E02000155,5,6
E02000156,1,2723
E02000156,2,1577
E02000156,3,490
E02000156,4,65
E02000156,5,7
E02000159,1,1643
E02000159,2,877
E02000159,3,262
E02000159,4,39
E02000159,5,1
E02000161,1,1980
E02000161,2,1033
E02000161,3,295
E02000161,4,36
E02000161,5,1
E02000163,1,1731
E02000163,2,983
E02000163,3,310
E02000163,4,43
E02000163,5,1
E02000167,1,2167
E02000167,2,940
E02000167,3,201
E02000167,4,58
E02000167,5,7
E02000168,1,1859
E02000168,2,1035
E02000168,3,439
E02000168,4,150
E02000168,5,11
E02000170,1,1886
E02000170,2,1032
E02000170,3,386
E02000170,4,132
E02000170,5,29
E02000171,1,1766
E02000171,2,1045
E02000171,3,389
E02000171,4,122
E02000171,5,8
E02000172,1,1491
E02000172,2,1285
E02000172,3,833
E02000172,4,381
E02000172,5,45
E02000173,1,1977
E02000173,2,1114
E02000173,3,304
E02000173,4,85
E02000173,5,21
E02000175,1,2293
E02000175,2,1265
E02000175,3,528
E02000175,4,198
E02000175,5,24
E02000176,1,1748
E02000176,2,899
E02000176,3,258
E02000176,4,80
E02000176,5,15
E02000177,1,1529
E02000177,2,1208
E02000177,3,642
E02000177,4,257
E02000177,5,18
E02000178,1,1792
E02000178,2,1314
E02000178,3,700
E02000178,4,312
E02000178,5,48
E02000179,1,1290
E02000179,2,806
E02000179,3,306
E02000179,4,131
E02000179,5,14
E02000180,1,1616
E02000180,2,1139
E02000180,3,552
E02000180,4,190
E02000180,5,20
E02000181,1,2216
E02000181,2,1063
E02000181,3,357
E02000181,4,104
E02000181,5,11
E02000183,1,1868
E02000183,2,1077
E02000183,3,479
E02000183,4,176
E02000183,5,16
E02000185,1,1366
E02000185,2,1465
E02000185,3,854
E02000185,4,319
E02000185,5,66
E02000187,1,1228
E02000187,2,1390
E02000187,3,818
E02000187,4,337
E02000187,5,44
E02000188,1,892
E02000188,2,978
E02000188,3,590
E02000188,4,235
E02000188,5,24
E02000191,1,1029
E02000191,2,730
E02000191,3,268
E02000191,4,66
E02000191,5,13
E02000192,1,1315
E02000192,2,997
E02000192,3,565
E02000192,4,191
E02000192,5,24
E02000193,1,1398
E02000193,2,1132
E02000193,3,439
E02000193,4,120
E02000193,5,12
E02000194,1,2212
E02000194,2,1324
E02000194,3,511
E02000194,4,139
E02000194,5,17
E02000195,1,1805
E02000195,2,1148
E02000195,3,446
E02000195,4,79
E02000195,5,12
E02000197,1,1562
E02000197,2,1175
E02000197,3,473
E02000197,4,99
E02000197,5,13
E02000199,1,1591
E02000199,2,1088
E02000199,3,415
E02000199,4,107
E02000199,5,7
E02000200,1,1904
E02000200,2,1422
E02000200,3,513
E02000200,4,149
E02000200,5,12
E02000201,1,1562
E02000201,2,1341
E02000201,3,670
E02000201,4,210
E02000201,5,38
E02000202,1,1395
E02000202,2,1064
E02000202,3,455
E02000202,4,109
E02000202,5,12
E02000204,1,1331
E02000204,2,1229
E02000204,3,525
E02000204,4,125
E02000204,5,17
E02000206,1,1825
E02000206,2,1641
E02000206,3,742
E02000206,4,234
E02000206,5,27
E02000207,1,1568
E02000207,2,1197
E02000207,3,557
E02000207,4,218
E02000207,5,20
E02000209,1,1393
E02000209,2,1049
E02000209,3,498
E02000209,4,119
E02000209,5,3
E02000210,1,1769
E02000210,2,1135
E02000210,3,433
E02000210,4,92
E02000210,5,15
E02000211,1,1786
E02000211,2,1107
E02000211,3,336
E02000211,4,62
E02000211,5,3
E02000212,1,1234
E02000212,2,1209
E02000212,3,624
E02000212,4,174
E02000212,5,22
E02000214,1,1242
E02000214,2,778
E02000214,3,254
E02000214,4,46
E02000214,5,5
E02000217,1,2309
E02000217,2,1740
E02000217,3,744
E02000217,4,209
E02000217,5,17
E02000218,1,1069
E02000218,2,789
E02000218,3,380
E02000218,4,104
E02000218,5,7
E02000219,1,1620
E02000219,2,1042
E02000219,3,278
E02000219,4,41
E02000219,5,2
E02000221,1,1701
E02000221,2,1356
E02000221,3,700
E02000221,4,220
E02000221,5,11
E02000222,1,2032
E02000222,2,1127
E02000222,3,393
E02000222,4,73
E02000222,5,10
E02000224,1,1780
E02000224,2,1014
E02000224,3,385
E02000224,4,79
E02000224,5,13
E02000225,1,951
E02000225,2,954
E02000225,3,571
E02000225,4,171
E02000225,5,11
E02000227,1,2387
E02000227,2,1686
E02000227,3,627
E02000227,4,129
E02000227,5,11
E02000229,1,672
E02000229,2,826
E02000229,3,531
E02000229,4,197
E02000229,5,11
E02000230,1,2414
E02000230,2,1249
E02000230,3,479
E02000230,4,82
E02000230,5,8
E02000231,1,1698
E02000231,2,839
E02000231,3,180
E02000231,4,32
E02000231,5,3
E02000234,1,2018
E02000234,2,1154
E02000234,3,450
E02000234,4,93
E02000234,5,4
E02000237,1,1633
E02000237,2,985
E02000237,3,337
E02000237,4,76
E02000237,5,3
E02000238,1,1692
E02000238,2,1362
E02000238,3,571
E02000238,4,100
E02000238,5,11
E02000240,1,1524
E02000240,2,1436
E02000240,3,711
E02000240,4,209
E02000240,5,17
E02000241,1,1168
E02000241,2,959
E02000241,3,374
E02000241,4,90
E02000241,5,6
E02000243,1,1343
E02000243,2,1154
E02000243,3,502
E02000243,4,120
E02000243,5,11
E02000244,1,1352
E02000244,2,1045
E02000244,3,416
E02000244,4,102
E02000244,5,22
E02000247,1,1511
E02000247,2,1423
E02000247,3,720
E02000247,4,221
E02000247,5,17
E02000248,1,1394
E02000248,2,1074
E02000248,3,407
E02000248,4,106
E02000248,5,8
E02000249,1,1141
E02000249,2,1153
E02000249,3,495
E02000249,4,118
E02000249,5,6
E02000250,1,1573
E02000250,2,749
E02000250,3,188
E02000250,4,31
E02000250,5,3
E02000251,1,1074
E02000251,2,969
E02000251,3,410
E02000251,4,85
E02000251,5,4
E02000255,1,1940
